STATION,MON.DAY,YEAR,SNOW,SNWD,TMAX,TMIN,TOBS
USC00427064,10-1,1980,0,0,85,44,48
USC00427064,10-2,1980,0,0,82,44,46
USC00427064,10-3,1980,0,0,79,41,44
USC00427064,10-4,1980,0,0,81,42,44
USC00427064,10-5,1980,0,0,83,42,45
USC00427064,10-6,1980,0,0,82,43,46
USC00427064,10-7,1980,0,0,81,43,45
USC00427064,10-8,1980,0,0,81,43,45
USC00427064,10-9,1980,0,0,80,42,45
USC00427064,10-10,1980,0,0,79,41,44
USC00427064,10-11,1980,0,0,80,42,46
USC00427064,10-12,1980,0,0,84,44,65
USC00427064,10-13,1980,0,0,65,41,44
USC00427064,10-14,1980,0,0,69,41,44
USC00427064,10-15,1980,0,0,66,35,37
USC00427064,10-16,1980,0,0,41,33,36
USC00427064,10-17,1980,0,0,41,34,39
USC00427064,10-18,1980,0,0,54,36,40
USC00427064,10-19,1980,0,0,57,34,36
USC00427064,10-20,1980,0,0,62,33,35
USC00427064,10-21,1980,0,0,65,33,36
USC00427064,10-22,1980,0,0,67,33,38
USC00427064,10-23,1980,0,0,60,26,28
USC00427064,10-24,1980,0,0,55,25,28
USC00427064,10-25,1980,0,0,59,25,32
USC00427064,10-26,1980,0,0,67,28,46
USC00427064,10-27,1980,0,0,49,32,38
USC00427064,10-28,1980,0,0,49,26,29
USC00427064,10-29,1980,0,0,51,25,29
USC00427064,10-30,1980,0,0,54,26,32
USC00427064,10-31,1980,0,0,63,29,38
USC00427064,11-1,1980,0,0,69,30,
USC00427064,11-2,1980,0,0,68,37,
USC00427064,11-3,1980,0,0,62,33,
USC00427064,11-4,1980,0,0,67,33,
USC00427064,11-5,1980,0,0,71,33,
USC00427064,11-6,1980,0,0,74,38,
USC00427064,11-7,1980,0,0,73,38,
USC00427064,11-8,1980,0,0,69,48,
USC00427064,11-9,1980,0,0,73,36,
USC00427064,11-10,1980,0,0,73,33,
USC00427064,11-11,1980,0,0,65,45,
USC00427064,11-12,1980,0,0,63,38,
USC00427064,11-13,1980,0,0,42,31,
USC00427064,11-14,1980,0,0,42,28,
USC00427064,11-15,1980,0,0,41,19,
USC00427064,11-16,1980,0,0,42,20,
USC00427064,11-17,1980,0,0,43,17,
USC00427064,11-18,1980,0,0,44,18,
USC00427064,11-19,1980,0,0,47,18,
USC00427064,11-20,1980,0,0,46,23,
USC00427064,11-21,1980,0,0,55,23,
USC00427064,11-22,1980,0,0,48,35,
USC00427064,11-23,1980,0,0,43,27,
USC00427064,11-24,1980,0,0,40,29,
USC00427064,11-25,1980,0,0,36,24,
USC00427064,11-26,1980,0,0,37,19,
USC00427064,11-27,1980,0,0,36,19,
USC00427064,11-28,1980,0,0,41,22,
USC00427064,11-29,1980,0,0,51,25,
USC00427064,11-30,1980,0,0,55,41,
USC00427064,12-1,1980,0,0,53,31,38
USC00427064,12-2,1980,0,0,59,31,54
USC00427064,12-3,1980,0,0,57,41,56
USC00427064,12-4,1980,0,0,59,46,52
USC00427064,12-5,1980,5,5,52,31,33
USC00427064,12-6,1980,0,1,41,29,37
USC00427064,12-7,1980,1,2,37,28,32
USC00427064,12-8,1980,0,0,32,18,27
USC00427064,12-9,1980,0,0,33,21,29
USC00427064,12-10,1980,0,0,37,14,29
USC00427064,12-11,1980,0,0,40,18,32
USC00427064,12-12,1980,0,0,42,19,34
USC00427064,12-13,1980,0,0,34,16,28
USC00427064,12-14,1980,0,0,28,20,25
USC00427064,12-15,1980,0,0,32,20,27
