name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Mazatlán, SIN, México",2023-04-08T00:00:00,68.3,68.3,63.9,86.09,0,0,,0,0,9.6,5.4,304.6,1012,0,,0,0,0,,Clear,clear-night,remote
"Mazatlán, SIN, México",2023-04-08T01:00:00,67.6,67.6,64.3,89.37,0,0,,0,0,8.5,4.3,303.8,1012,0,,0,0,0,,Clear,clear-night,remote
"Mazatlán, SIN, México",2023-04-08T02:00:00,67.2,67.2,64.3,90.48,0,0,,0,0,7.4,3.4,305.5,1012,0,,0,0,0,,Clear,clear-night,remote
"Mazatlán, SIN, México",2023-04-08T03:00:00,66.1,66.1,63.9,92.75,0,0,,0,0,6.7,2.9,328.4,1012,0,,0,0,0,,Clear,clear-night,remote
"Mazatlán, SIN, México",2023-04-08T04:00:00,65.6,65.6,63.4,92.74,0,0,,0,0,6.5,2.7,338,1012,27.5,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Mazatlán, SIN, México",2023-04-08T05:00:00,64.8,64.8,63.4,95.09,0,0,,0,0,6.5,2.5,318.5,1012,23.1,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Mazatlán, SIN, México",2023-04-08T06:00:00,64.7,64.7,63.4,95.69,0,0,,0,0,7.2,3.1,316.6,1012,100,,0.2,0,0,,Overcast,cloudy,remote
"Mazatlán, SIN, México",2023-04-08T07:00:00,57.1,57.1,48.1,71.84,0,0,,0,0,7.8,0,0,1012.9,0,14.9,87.6,0.3,1,,Clear,clear-day,MMMZ
"Mazatlán, SIN, México",2023-04-08T08:00:00,66.3,66.3,62.5,87.63,0,0,,0,0,7.8,4.5,312.7,1014,36.1,,289.6,1,3,,Partially cloudy,partly-cloudy-day,remote
"Mazatlán, SIN, México",2023-04-08T09:00:00,68.8,68.8,62.1,79.33,0,0,,0,0,7.2,4.7,302.8,1014,3.8,,495,1.8,5,,Clear,clear-day,remote
"Mazatlán, SIN, México",2023-04-08T10:00:00,71.5,71.5,62.5,73.28,0,0,,0,0,7.4,5.4,285.8,1014,14.6,,777,2.8,8,,Clear,clear-day,remote
"Mazatlán, SIN, México",2023-04-08T11:00:00,73.1,73.1,63.2,71.16,0,0,,0,0,9.2,6.5,274.4,1013,35.2,,930.1,3.3,9,,Partially cloudy,partly-cloudy-day,remote
"Mazatlán, SIN, México",2023-04-08T12:00:00,73.7,73.7,63.8,71.21,0,0,,0,0,12.5,8.5,267.4,1012,54.6,,1017.4,3.7,10,,Partially cloudy,partly-cloudy-day,remote
"Mazatlán, SIN, México",2023-04-08T13:00:00,73.5,73.5,64.1,72.55,0,0,,0,0,15,10.3,266.2,1012,59,,1027.2,3.7,10,,Partially cloudy,partly-cloudy-day,remote
"Mazatlán, SIN, México",2023-04-08T14:00:00,73.1,73.1,64.5,74.37,0,0,,0,0,16.8,11.4,270.9,1011,77,,962.3,3.5,10,,Partially cloudy,partly-cloudy-day,remote
"Mazatlán, SIN, México",2023-04-08T15:00:00,73.3,73.3,63.1,70.28,0,0,,0,0,17.4,11.9,283,1011,91,,826.8,3,8,,Overcast,cloudy,remote
"Mazatlán, SIN, México",2023-04-08T16:00:00,73.1,73.1,62.3,68.94,0,0,,0,0,17.4,11.6,289.9,1011,96.7,,632.3,2.3,6,,Overcast,cloudy,remote
"Mazatlán, SIN, México",2023-04-08T17:00:00,72.8,72.8,62,68.9,0,0,,0,0,17,10.7,295.6,1010,76.4,,397.3,1.4,4,,Partially cloudy,partly-cloudy-day,remote
"Mazatlán, SIN, México",2023-04-08T18:00:00,72.1,72.1,62.9,72.87,0,0,,0,0,15.4,9.4,300.5,1011,57.7,,155,0.6,2,,Partially cloudy,partly-cloudy-day,remote
"Mazatlán, SIN, México",2023-04-08T19:00:00,71.3,71.3,63.1,75.14,0,0,,0,0,12.1,8.5,307.6,1012,0.5,,7.2,0,0,,Clear,clear-night,remote
"Mazatlán, SIN, México",2023-04-08T20:00:00,70.8,70.8,58.7,65.66,0,0,,0,0,11,2.2,320,1012.5,8.9,6.2,0,0,0,,Clear,clear-night,76458099999
