name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Torreón, COAH, México",2020-04-08T00:00:00,78.5,78.5,44.5,29.99,0,0,,0,0,5.1,2.9,270,1013,17.5,,0,0,0,,Clear,clear-night,remote
"Torreón, COAH, México",2020-04-08T01:00:00,78.7,78.7,43.6,28.8,0,0,,0,0,5.1,3.4,288.4,1013,35.3,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Torreón, COAH, México",2020-04-08T02:00:00,79.1,79.1,42.9,27.69,0,0,,0,0,12.5,6.9,316.7,1013,49.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Torreón, COAH, México",2020-04-08T03:00:00,76.6,76.6,43.8,31.15,0,0,,0,0,18.1,8.3,331.1,1013,7,,0,0,0,,Clear,clear-night,remote
"Torreón, COAH, México",2020-04-08T04:00:00,76,76,41.6,29.19,0,0,,0,0,17.4,5.4,349.4,1014,1,,0,0,0,,Clear,clear-night,remote
"Torreón, COAH, México",2020-04-08T05:00:00,70.8,70.8,43.4,37.28,0,0,,0,0,12.1,4,20.2,1014,34.9,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Torreón, COAH, México",2020-04-08T06:00:00,71.9,71.9,42.9,35.2,0,0,,0,0,8.1,3.4,19.9,1015,42.6,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Torreón, COAH, México",2020-04-08T07:00:00,72.2,72.2,43.8,70.36,0,0,,0,0,6.5,2.2,230,1010.8,30,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,76382099999
"Torreón, COAH, México",2020-04-08T08:00:00,71.5,71.5,43.8,36.88,0,0,,0,0,6,2,344.2,1016,0.2,,5.4,0,0,,Clear,clear-day,remote
"Torreón, COAH, México",2020-04-08T09:00:00,74,74,44.5,34.82,0,0,,0,0,5.1,0.9,316,1017,10.7,,141.5,0.5,1,,Clear,clear-day,remote
"Torreón, COAH, México",2020-04-08T10:00:00,75.8,75.8,48.3,70.36,0,0,,0,0,10.5,2.2,20,1013.1,60,18.6,283,1,3,,Partially cloudy,partly-cloudy-day,"76382099999,E8718"
"Torreón, COAH, México",2020-04-08T11:00:00,76.7,76.7,49.5,38.48,0,0,,0,0,15.9,4.3,346.4,1017,100,,603.9,2.2,6,,Overcast,cloudy,remote
"Torreón, COAH, México",2020-04-08T12:00:00,84.1,82,48.1,28.65,0,0,,0,0,17,4.5,355,1016,98.1,,797.2,2.9,8,,Overcast,cloudy,remote
"Torreón, COAH, México",2020-04-08T13:00:00,86.3,83.6,48.1,26.74,0,0,,0,0,17,4.5,6.2,1015,99,,942.1,3.4,9,,Overcast,cloudy,remote
"Torreón, COAH, México",2020-04-08T14:00:00,87,84.2,48.5,26.48,0,0,,0,0,14.1,4,23.2,1014,90.6,,940.2,3.4,9,,Overcast,cloudy,remote
"Torreón, COAH, México",2020-04-08T15:00:00,88.8,85.6,47.4,24.02,0,0,,0,0,13.4,3.4,33.7,1013,57.4,,998.4,3.6,10,,Partially cloudy,partly-cloudy-day,remote
"Torreón, COAH, México",2020-04-08T16:00:00,89.7,86.4,47,23.04,0,0,,0,0,13,2.5,33.2,1012,85,,865.3,3.1,9,,Partially cloudy,partly-cloudy-day,remote
"Torreón, COAH, México",2020-04-08T17:00:00,87.5,84.3,44.9,22.73,0,0,,0,0,11.2,1.3,101.1,1010,54.5,,755.2,2.7,8,,Partially cloudy,partly-cloudy-day,remote
"Torreón, COAH, México",2020-04-08T18:00:00,88.2,84.9,44.7,22.06,0,0,,0,0,9.2,2.7,66.2,1010,69.1,,424.8,1.5,4,,Partially cloudy,partly-cloudy-day,remote
"Torreón, COAH, México",2020-04-08T19:00:00,89.3,85.9,45,21.62,0,0,,0,0,12.1,5.6,46.2,1009,87.8,,229.4,0.8,2,,Partially cloudy,partly-cloudy-day,remote
"Torreón, COAH, México",2020-04-08T20:00:00,89.7,86.2,44.7,21.09,0,0,,0,0,20.4,9.8,24.1,1010,88.7,,67.6,0.2,1,,Partially cloudy,partly-cloudy-day,remote
"Torreón, COAH, México",2020-04-08T21:00:00,86.6,83.6,45.4,23.87,0,0,,0,0,24.8,11.6,10.3,1011,78.4,,1,0,0,,Partially cloudy,partly-cloudy-night,remote
"Torreón, COAH, México",2020-04-08T22:00:00,84.3,81.9,45.9,26.26,0,0,,0,0,25.1,12.3,7.1,1012,98.6,,0,0,0,,Overcast,cloudy,remote
"Torreón, COAH, México",2020-04-08T23:00:00,83,81.1,46.8,28.29,0,0,,0,0,23.9,8.7,357.2,1014,98.5,,0,0,0,,Overcast,cloudy,remote
"Torreón, COAH, México",2019-04-08T00:00:00,75.5,75.5,27.6,16.99,0,0,,0,0,6.7,4,340.5,1014,0,,0,0,0,,Clear,clear-night,remote
"Torreón, COAH, México",2019-04-08T01:00:00,71.1,71.1,23.4,16.55,0,0,,0,0,6,3.6,320.1,1014,0,,0,0,0,,Clear,clear-night,remote
"Torreón, COAH, México",2019-04-08T02:00:00,69.3,69.3,22.2,16.68,0,0,,0,0,9.4,3.6,300.7,1014,0,,0,0,0,,Clear,clear-night,remote
"Torreón, COAH, México",2019-04-08T03:00:00,66.6,66.6,21.8,18.03,0,0,,0,0,8.7,3.8,295.4,1014,0,,0,0,0,,Clear,clear-night,remote
"Torreón, COAH, México",2019-04-08T04:00:00,65.4,65.4,19.8,17.32,0,0,,0,0,9.2,4.3,294.3,1014,0,,0,0,0,,Clear,clear-night,remote
