Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-04-17,Breakfast,385.0,26.0,1.0,4.0,10.0,0.0,0.0,180.0,499.0,32.0,5.0,13.0,11.0,0.0,0.0,26.2,11.6,
2025-04-17,Dinner,650.0,9.5,0.5,0.0,0.0,0.5,120.0,2100.0,0.0,70.0,12.0,9.0,66.0,0.0,0.0,0.0,0.0,
2025-04-17,Lunch,182.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,
2025-04-17,Snacks,751.9,23.1,2.3,3.5,9.3,0.0,15.0,606.3,1167.1,107.1,13.0,53.1,33.7,8.0,4.6,50.2,42.0,
2025-04-18,Breakfast,450.0,27.5,1.0,4.0,10.0,0.0,0.0,322.0,484.0,43.0,9.0,11.0,15.0,0.0,0.0,11.4,17.1,
2025-04-18,Dinner,361.8,9.2,1.6,0.1,0.0,0.0,20.0,518.3,291.3,66.3,2.6,39.9,4.6,0.0,15.7,10.6,8.1,
2025-04-18,Lunch,1080.0,60.0,14.5,0.0,0.0,0.0,120.0,2320.0,0.0,89.0,7.0,9.0,43.0,10.0,35.0,8.0,40.0,
2025-04-18,Snacks,639.9,17.8,2.3,2.5,6.3,0.0,15.0,279.0,1116.9,92.6,9.0,65.9,29.1,11.2,4.6,60.7,32.1,
2025-04-19,Breakfast,537.5,39.0,1.8,7.0,17.5,0.0,0.0,350.0,500.5,36.8,9.3,3.8,18.5,0.0,0.0,15.9,21.6,
2025-04-19,Dinner,363.3,14.8,6.0,0.0,0.0,0.0,100.0,570.0,500.0,23.3,3.7,7.0,33.3,0.0,0.0,4.8,28.6,
2025-04-19,Lunch,620.0,23.0,8.0,0.0,0.0,0.0,155.0,880.0,0.0,57.0,11.0,3.5,50.5,0.0,0.0,0.0,0.0,
2025-04-19,Snacks,871.9,31.1,4.3,5.5,15.3,0.0,25.0,942.3,971.1,111.1,11.0,36.1,33.7,8.0,4.6,51.5,48.4,
2025-04-20,Breakfast,367.5,23.0,0.8,3.0,7.5,0.0,0.0,310.0,310.5,31.8,6.3,2.8,12.5,0.0,0.0,9.9,15.6,
2025-04-20,Dinner,1152.4,41.6,13.2,8.3,12.7,0.0,217.4,5179.5,2435.6,116.1,10.9,40.2,85.0,19.8,57.2,31.1,51.1,
2025-04-20,Lunch,363.3,14.8,6.0,0.0,0.0,0.0,100.0,570.0,500.0,23.3,3.7,7.0,33.3,0.0,0.0,4.8,28.6,
2025-04-20,Snacks,348.0,6.2,0.5,0.0,0.0,0.0,10.0,221.7,655.8,51.5,5.0,34.8,20.4,3.2,0.0,40.2,26.1,
2025-04-21,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-21,Dinner,664.0,31.5,12.8,0.0,0.0,0.3,77.5,1395.0,0.0,63.0,8.0,12.5,35.5,0.0,0.0,0.0,0.0,
2025-04-21,Lunch,750.0,23.0,5.5,5.5,11.5,0.0,65.0,1320.0,740.0,95.0,14.0,4.0,35.0,0.0,0.0,13.0,32.4,
2025-04-21,Snacks,418.0,6.2,0.5,0.0,0.0,0.0,10.0,221.7,670.8,68.5,5.0,50.8,20.4,3.2,10.0,40.2,26.1,
2025-04-22,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-22,Dinner,413.1,12.6,4.6,0.1,1.1,0.0,75.0,851.3,940.0,43.5,7.9,11.5,31.0,0.0,0.0,7.2,32.8,
2025-04-22,Lunch,881.9,27.1,6.8,3.5,8.3,0.0,50.0,622.3,781.1,134.1,11.0,49.1,28.7,8.0,4.6,16.5,19.7,
2025-04-22,Snacks,250.0,6.0,0.5,0.0,0.0,0.0,10.0,220.0,470.0,28.0,1.0,17.0,20.0,0.0,0.0,39.0,25.0,
2025-04-23,Breakfast,392.5,23.0,0.8,3.0,7.5,0.0,0.0,312.5,535.5,37.3,6.3,7.8,12.8,0.0,0.0,27.4,16.7,
2025-04-23,Dinner,503.1,13.6,4.6,0.1,1.1,0.0,75.0,951.3,1330.0,59.5,9.9,18.5,34.0,0.0,0.0,42.2,34.5,
2025-04-23,Lunch,848.0,23.2,5.5,5.5,11.5,0.0,65.0,1321.7,925.8,118.5,18.0,21.8,35.4,3.2,0.0,14.2,33.5,
2025-04-23,Snacks,320.0,6.0,0.5,0.0,0.0,0.0,10.0,220.0,485.0,45.0,1.0,33.0,20.0,0.0,10.0,39.0,25.0,
2025-04-24,Breakfast,472.5,24.0,0.8,3.0,7.5,0.0,0.0,452.5,619.5,51.3,8.3,8.8,16.8,0.0,0.0,30.1,22.3,
2025-04-24,Dinner,483.1,12.6,4.6,0.1,1.1,0.0,75.0,851.3,955.0,60.5,7.9,27.5,31.0,0.0,10.0,7.2,32.8,
2025-04-24,Lunch,850.0,39.0,6.5,0.0,0.0,0.0,60.0,1880.0,0.0,88.0,7.0,5.0,35.0,0.0,15.0,2.0,6.0,
2025-04-24,Snacks,448.0,12.7,2.5,2.5,7.5,0.0,12.5,601.7,360.8,71.0,9.0,17.8,7.9,3.2,0.0,6.2,16.1,
2025-04-25,Breakfast,472.5,24.0,0.8,3.0,7.5,0.0,0.0,452.5,619.5,51.3,8.3,8.8,16.8,0.0,0.0,30.1,22.3,
2025-04-25,Dinner,361.5,11.0,4.0,0.1,1.0,0.0,65.6,744.8,822.5,38.1,6.9,10.1,27.1,0.0,0.0,6.3,28.7,
